start_date,end_date,nawrocki,trzaskowski,różnica
1 Mar 2025,7 Mar 2025,44.1,55.9,-11.8
8 Mar 2025,14 Mar 2025,42.7,57.3,-14.6
15 Mar 2025,21 Mar 2025,42.3,57.7,-15.4
22 Mar 2025,28 Mar 2025,42.7,57.3,-14.6
29 Mar 2025,4 Apr 2025,40.8,59.2,-18.4
5 Apr 2025,11 Apr 2025,44.3,55.7,-11.4
12 Apr 2025,18 Apr 2025,45.9,54.1,-8.2
19 Apr 2025,25 Apr 2025,45.6,54.4,-8.8
26 Apr 2025,2 May 2025,44.4,55.6,-11.2
3 May 2025,9 May 2025,43.7,56.3,-12.6
10 May 2025,16 May 2025,46.1,53.9,-7.8
18 May 2025,23 May 2025,50.0,50.0,0.0
24 May 2025,30 May 2025,49.7,50.3,-0.6
Election Day,Election Day,50.89,49.11,1.78
