datetime,Happy,Angry,Surprise,Sad,Fear,tweet_count
2025-05-18 00:00:00+00:00,0.07470238095238095,0.04386904761904762,0.10375,0.15595238095238095,0.2525595238095238,168
2025-05-19 00:00:00+00:00,0.09827338129496403,0.07079136690647482,0.10453237410071943,0.19575539568345324,0.3363309352517986,139
2025-05-20 00:00:00+00:00,0.08923566878980892,0.07503184713375796,0.10643312101910829,0.1724203821656051,0.275859872611465,157
2025-05-21 00:00:00+00:00,0.09021897810218978,0.0843065693430657,0.12766423357664236,0.19664233576642337,0.26759124087591246,137
2025-05-22 00:00:00+00:00,0.13361842105263158,0.0813157894736842,0.08177631578947368,0.2167763157894737,0.28842105263157897,152
2025-05-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0
2025-05-24 00:00:00+00:00,0.11696202531645569,0.0599367088607595,0.13063291139240507,0.17670886075949369,0.2742405063291139,158
2025-05-25 00:00:00+00:00,0.07582781456953643,0.06172185430463576,0.09860927152317882,0.17079470198675495,0.3209933774834437,151
2025-05-26 00:00:00+00:00,0.08253521126760564,0.06408450704225352,0.15943661971830986,0.1665492957746479,0.2807746478873239,142
2025-05-27 00:00:00+00:00,0.1230718954248366,0.047254901960784315,0.11163398692810458,0.21843137254901962,0.23790849673202613,153
2025-05-28 00:00:00+00:00,0.12409937888198758,0.049875776397515524,0.12130434782608697,0.18590062111801242,0.2012422360248447,161
